name,salary_from,salary_to,salary_currency,area_name,published_at
Механик,175000.0,,RUR,Владивосток,2022-12-15T02:20:48+0300
Системный администратор,35000.0,35000.0,RUR,Улан-Удэ,2022-12-15T03:38:42+0300
Техник по обслуживанию пожарной сигнализации,44000.0,,RUR,Краснодар,2022-12-15T11:53:11+0300
Линейный механик,150000.0,,RUR,Новосибирск,2022-12-15T11:49:50+0300
Заместитель начальника отдела планирования и учета программ и проектов,60000.0,,RUR,Уфа,2022-12-15T07:13:06+0300
Выездной инженер технической поддержки,62000.0,,RUR,Санкт-Петербург,2022-12-15T10:20:03+0300
Наладчик станков с ЧПУ,80000.0,120000.0,RUR,Брянск,2022-12-15T08:51:31+0300
Специалист по информационной безопасности,30000.0,40000.0,RUR,Чебоксары,2022-12-15T09:40:01+0300
Сервисный инженер/Техник по ремонту банкоматов,32000.0,50000.0,RUR,Казань,2022-12-15T09:36:37+0300
Инженер-механик,,60000.0,RUR,Воронеж,2022-12-15T07:04:16+0300
Начинающий специалист по обслуживанию POS-терминального оборудования,60000.0,,RUR,Петропавловск-Камчатский,2022-12-15T03:54:51+0300
Финансовый директор,80000.0,120000.0,RUR,Казань,2022-12-15T10:19:42+0300
Системный администратор,55000.0,,RUR,Рязань,2022-12-15T09:09:24+0300
Токарь,47000.0,,RUR,Новокузнецк,2022-12-15T05:58:57+0300
Начинающий специалист технической поддержки (удаленно),30000.0,38000.0,RUR,Казань,2022-12-15T09:44:14+0300
Помощник медицинского техника,,194000.0,KZT,Экибастуз,2022-12-15T09:37:59+0300
Оператор станков с ПУ,78000.0,,RUR,Кронштадт,2022-12-15T11:07:28+0300
"Расточник, Ижевск",120000.0,,RUR,Уфа,2022-12-15T07:33:20+0300
Системный администратор,65000.0,,RUR,Санкт-Петербург,2022-12-15T11:39:40+0300
Оператор станка с ЧПУ (лазерная резка металла),72000.0,86000.0,RUR,Санкт-Петербург,2022-12-15T08:18:17+0300
Разработчик баз данных,150000.0,,RUR,Новосибирск,2022-12-15T11:38:51+0300
Инженер-программист микроконтроллеров,50000.0,,RUR,Санкт-Петербург,2022-12-15T09:25:33+0300
Разработчик С,,200000.0,RUR,Уфа,2022-12-15T10:48:06+0300
"Инженер (технический писатель) АО ""Концерн ""Автоматика""",73000.0,,RUR,Москва,2022-12-15T09:43:26+0300
Специалист Техподдержки/Системный администратор,30000.0,,RUR,Тольятти,2022-12-15T07:15:44+0300
Зуборезчик (Ижевск),100000.0,,RUR,Ижевск,2022-12-15T07:33:52+0300
Администратор 1С,50000.0,,RUR,Хабаровск,2022-12-15T01:08:56+0300
Ведущий инженер-программист,30000.0,35000.0,RUR,Челябинск,2022-12-15T06:59:42+0300
Оператор ЧПУ (ученик),52000.0,59000.0,RUR,Челябинск,2022-12-15T07:51:27+0300
Администратор техподдержки,45000.0,45000.0,RUR,Архангельск,2022-12-15T11:51:08+0300
Стажер - системный аналитик (ОВА),,20000.0,RUR,Уфа,2022-12-15T09:20:38+0300
Старший инженер-механик,,94000.0,RUR,Москва,2022-12-15T08:36:29+0300
Техник по обслуживанию слаботочных систем,50000.0,60000.0,RUR,Екатеринбург,2022-12-15T11:55:57+0300
Наладчик КИПиА,50000.0,,RUR,Кострома,2022-12-15T11:58:23+0300
Начальник автоколонны,80000.0,,RUR,Красноярск,2022-12-15T08:15:26+0300
Инженер по техническому обслуживанию АПС,30000.0,,RUR,Самара,2022-12-15T11:29:32+0300
Администратор проекта,,80000.0,RUR,Уфа,2022-12-15T11:01:48+0300
Специалист / гузчик (штамповщик) крупное машиностроительное предприятие,74000.0,,RUR,Волгоград,2022-12-15T10:31:16+0300
Токарь-карусельщик,120000.0,130000.0,RUR,Тула,2022-12-15T07:56:44+0300
Инженер КИПиА,60000.0,160000.0,RUR,Екатеринбург,2022-12-15T09:36:48+0300
Разработчик PHP,,300000.0,RUR,Москва,2022-12-15T08:50:09+0300
Начальник отдела обслуживания инфраструктуры ЦОД,90000.0,,RUR,Екатеринбург,2022-12-15T06:09:13+0300
Токарь-универсал,60000.0,100000.0,RUR,Санкт-Петербург,2022-12-15T09:45:59+0300
Технический дизайнер,,100000.0,RUR,Москва,2022-12-15T09:09:21+0300
Механик по автотранспорту (Иркутская область),140000.0,140000.0,RUR,Иркутск,2022-12-15T05:31:15+0300
Оператор станков с ЧПУ,50000.0,,RUR,Пермь,2022-12-15T06:34:08+0300
Оператор станков с программным управлением 3 разряд,47000.0,,RUR,Фрязино,2022-12-15T11:50:33+0300
Фрезеровщик,40000.0,45000.0,RUR,Барнаул,2022-12-15T05:02:49+0300
Ведущий инженер-программист,71900.0,,RUR,Таганрог,2022-12-15T10:18:08+0300
Механик (Колпино),53000.0,,RUR,Колпино,2022-12-15T10:30:11+0300
Инженер сервисного центра,40000.0,60000.0,RUR,Иркутск,2022-12-15T04:08:38+0300
Выездной инженер технической поддержки,55000.0,,RUR,Архангельск,2022-12-15T10:19:33+0300
Токарь,70000.0,90000.0,RUR,Набережные Челны,2022-12-15T11:43:25+0300
